home_team,away_team,home_norm_points,away_norm_points,neutral,knockout_home_win_prob,knockout_away_win_prob,home_win_prob,away_win_prob,tie_prob
France,Belgium,98.43989426049554,94.37519602132711,1,0.5925151149172254,0.4074848850827745,0.4209744070412376,0.28951279647938116,0.28951279647938116
France,England,98.43989426049554,94.34562480397868,1,0.5931725397959897,0.4068274602040103,0.42163844293313063,0.28918077853343466,0.28918077853343466
France,Portugal,98.43989426049554,90.15278462296698,1,0.6820634826317024,0.3179365173682976,0.5175237757230302,0.2412381121384849,0.2412381121384849
France,Netherlands,98.43989426049554,89.63125588063981,1,0.6923876450287403,0.30761235497125977,0.5295052791421189,0.23524736042894062,0.23524736042894062
France,Spain,98.43989426049554,88.30592768493212,1,0.717759055219577,0.2822409447804231,0.5597692525272536,0.22011537373637322,0.22011537373637322
France,Italy,98.43989426049554,88.04605941126394,1,0.7225824115350805,0.27741758846491954,0.5656587305983568,0.21717063470082165,0.21717063470082165
France,Croatia,98.43989426049554,87.7297369953851,1,0.7283845660106539,0.2716154339893461,0.5728025522036535,0.21359872389817328,0.21359872389817328
France,Germany,98.43989426049554,80.84233164568306,0,0.6357817338351649,0.36421826616483516,0.46604106513139515,0.26697946743430245,0.26697946743430245
France,Switzerland,98.43989426049554,78.3511806084502,1,0.8641551505819774,0.1358448494180224,0.7608038642115148,0.11959806789424263,0.11959806789424263
France,Denmark,98.43989426049554,77.12442313723733,1,0.8768818114702549,0.12311818852974511,0.7807564870961318,0.10962175645193407,0.10962175645193407
France,Ukraine,98.43989426049554,74.09023701778753,1,0.9040178016146542,0.09598219838534586,0.8248471580528379,0.08757642097358104,0.08757642097358104
France,Austria,98.43989426049554,72.83570052421703,1,0.9135864403269646,0.08641355967303546,0.8409195855415459,0.07954020722922704,0.07954020722922704
France,Hungary,98.43989426049554,70.80514359962365,1,0.92725406666773,0.07274593333227003,0.864374347975761,0.06781282601211956,0.06781282601211956
France,Poland,98.43989426049554,70.7415206774497,1,0.9276483510295324,0.07235164897046767,0.8650598448001078,0.06747007759994615,0.06747007759994617
France,Serbia,98.43989426049554,69.19216810789015,1,0.9366607009354144,0.06333929906458567,0.8808671905189531,0.05956640474052351,0.05956640474052351
France,Czechia,98.43989426049554,68.05143599623639,1,0.9426152951938828,0.05738470480611725,0.8914591736663349,0.054270413166832544,0.054270413166832544
France,Scotland,98.43989426049554,67.692100900578,1,0.9443795086977068,0.055620491302293226,0.8946202887106225,0.05268985564468873,0.05268985564468873
France,Turkey,98.43989426049554,67.55589408127605,1,0.945034802206514,0.05496519779348607,0.8957971354724336,0.05210143226378331,0.05210143226378331
France,Romania,98.43989426049554,65.06743133652942,1,0.9557955017588828,0.04420449824111711,0.9153336375861696,0.042333181206915135,0.042333181206915135
France,Slovakia,98.43989426049554,64.47421479456965,1,0.9580473133116958,0.0419526866883043,0.9194729526123787,0.04026352369381074,0.04026352369381074
France,Slovenia,98.43989426049554,61.453470137550966,1,0.9679094067604255,0.03209059323957454,0.9378143867412897,0.03109280662935516,0.03109280662935516
France,Albania,98.43989426049554,56.7274519467718,1,0.9789968893983594,0.021003110601640663,0.9588578910611463,0.020571054469426916,0.020571054469426916
France,Georgia,98.43989426049554,53.0229849007572,1,0.9849772368719881,0.015022763128011818,0.9703991601494415,0.014800419925279243,0.014800419925279243
Belgium,England,94.37519602132711,94.34562480397868,1,0.5006809020215681,0.4993190979784319,0.3339388544417584,0.3330305727791208,0.3330305727791208
Belgium,Portugal,94.37519602132711,90.15278462296698,1,0.596017498274798,0.40398250172520206,0.4245191785100004,0.2877404107449998,0.2877404107449998
Belgium,Netherlands,94.37519602132711,89.63125588063981,1,0.6075279919910574,0.3924720080089425,0.43629458150454675,0.2818527092477266,0.2818527092477266
Belgium,Spain,94.37519602132711,88.30592768493212,1,0.6362211909425624,0.36377880905743765,0.46651347470509563,0.2667432626474522,0.2667432626474522
Belgium,Italy,94.37519602132711,88.04605941126394,1,0.641742475421679,0.35825752457832105,0.4724748170424542,0.2637625914787729,0.2637625914787729
Belgium,Croatia,94.37519602132711,87.7297369953851,1,0.6484127145428854,0.3515872854571146,0.47974165007300174,0.2601291749634991,0.2601291749634991
Belgium,Germany,94.37519602132711,80.84233164568306,0,0.5455556754821038,0.45444432451789624,0.37509560612637327,0.3124521969368134,0.3124521969368134
Belgium,Switzerland,94.37519602132711,78.3511806084502,1,0.8139474068853623,0.18605259311463776,0.6862658634284443,0.15686706828577784,0.15686706828577784
Belgium,Denmark,94.37519602132711,77.12442313723733,1,0.8304549344399562,0.16954506556004378,0.7100666394948087,0.14496668025259554,0.14496668025259554
Belgium,Ukraine,94.37519602132711,74.09023701778753,1,0.8662630458453966,0.13373695415460338,0.764077630768722,0.11796118461563897,0.11796118461563897
Belgium,Austria,94.37519602132711,72.83570052421703,1,0.8790921295570893,0.12090787044291067,0.7842679605860281,0.10786601970698598,0.10786601970698598
Belgium,Hungary,94.37519602132711,70.80514359962365,1,0.8976040654542643,0.10239593454573567,0.8142302028936091,0.09288489855319537,0.09288489855319537
Belgium,Poland,94.37519602132711,70.7415206774497,1,0.8981414001513974,0.10185859984860256,0.8151149342345776,0.09244253288271119,0.09244253288271118
Belgium,Serbia,94.37519602132711,69.19216810789015,1,0.9104745159363682,0.08952548406363169,0.8356615143507683,0.08216924282461588,0.08216924282461587
Belgium,Czechia,94.37519602132711,68.05143599623639,1,0.9186771632252017,0.08132283677479832,0.8495863880626892,0.07520680596865544,0.07520680596865544
