home_team,away_team,home_norm_points,away_norm_points,game_num
Croatia,Romania,87.7297369953851,65.06743133652942,1
Germany,Denmark,80.84233164568306,77.12442313723733,2
Portugal,Serbia,90.15278462296698,69.19216810789015,3
Netherlands,Ukraine,89.63125588063981,74.09023701778753,4
Belgium,Italy,94.37519602132711,88.04605941126394,5
France,Turkey,98.43989426049554,67.55589408127605,6
England,Austria,94.34562480397868,72.83570052421703,7
Switzerland,Spain,78.3511806084502,88.30592768493212,8
