team_name,points,norm_points
France,147.18584002150857,100.0
Argentina,134.50869419350752,95.5413048136378
Portugal,131.30775439966519,94.41549818142913
Uzbekistan,107.4421922025081,86.02171075230156
Australia,99.89742444961985,83.36813082836312
Mexico,95.07213757542604,81.67102300530219
Japan,94.32258685436163,81.40739756174516
Iraq,92.63866235511145,80.81514232063083
Netherlands,90.86717657154702,80.1920907881288
Croatia,80.78143430222866,76.64482146447928
Mali,78.67308391414329,75.90329085072254
Belgium,77.26163399281467,75.40686799218614
Senegal,77.13810960140613,75.36342307036824
Spain,75.76283408791946,74.87972315911846
Qatar,75.19488610146371,74.67996944580854
Egypt,73.08144874573067,73.93664968814896
Romania,70.6244230507428,73.07248603588481
England,70.407654359634,72.99624604206332
Morocco,67.93725694755351,72.12737940606425
Hungary,66.57292579910693,71.64752875145187
Nigeria,64.09920974005799,70.77749490987954
Slovenia,62.97756984699731,70.38300150735236
South Africa,58.40511097106708,68.77481614318953
Colombia,58.08249658069583,68.66134902299419
United Arab Emirates,57.750436887457404,68.54455988323713
Bahrain,56.26858763244635,68.02337678493764
Jordan,55.42473971865532,67.72658595502294
Equatorial Guinea,55.22052335435754,67.6547607561316
Ukraine,54.93339256457454,67.55377361851943
Austria,50.71264546091991,66.06928925198717
Turkey,50.70972513474708,66.06826214033082
Jamaica,49.107504812493275,65.50474317989213
Uruguay,49.02368340521791,65.47526224544494
Algeria,48.76990144836577,65.38600426855058
Scotland,47.99590819869211,65.11378211196906
Slovakia,42.38172154729986,63.139209338449994
Switzerland,42.332812727599666,63.12200755486822
Angola,41.83237535031427,62.94599808432559
Guyana,41.77767844121221,62.92676056441132
Italy,40.149538683466815,62.3541254461381
Puerto Rico,39.104216620645616,61.98647388537396
Nicaragua,37.94921404679114,61.58024645167939
Greece,36.96533689639315,61.23420575971529
Ecuador,31.517311251986083,59.31807368665497
Solomon Islands,31.044683951763382,59.15184533391393
Moldova,29.479134835314138,58.601224050209225
Dominica,28.33263916413391,58.19798859014333
Palestine,27.055114958681518,57.74866891656741
Tunisia,26.44717825232944,57.53485071939579
Guinea,24.30950050616678,56.78300534298965
Denmark,24.25560993014977,56.76405141951685
Oman,22.271795882131165,56.06632164133594
Saudi Arabia,22.083651664707695,56.00014919779467
Venezuela,19.04027123232256,54.92975797028568
Zambia,17.988340546858375,54.55978208239251
Brazil,16.72604502435216,54.11581850838884
Aruba,16.685965653389736,54.101722141524625
Georgia,16.093543638009304,53.893360636173995
Albania,15.880314314087302,53.818365477716306
Comoros,15.774300989043322,53.781079395464275
Panama,15.004774532648101,53.51042826046437
Tahiti,14.694117138398969,53.401166550680536
Gabon,14.505206676367223,53.33472461026726
Kazakhstan,11.891904388808793,52.41559671759054
New Caledonia,10.453907915239569,51.90983713718505
Poland,10.178593540139431,51.813005965906434
Mauritania,9.9172193370775,51.72107771037928
Germany,9.893849586984869,51.71285830566008
China PR,8.190769047212491,51.11386566901329
Russia,7.301083398634861,50.80095319072289
Luxembourg,6.274199667684622,50.43978659926282
Burkina Faso,5.337963318772109,50.11050171457108
Dominican Republic,4.778240277084141,49.91364080711368
Togo,4.0113226730053135,49.6439072349014
Azerbaijan,3.1828545524272496,49.35252565174434
Singapore,2.684739457539509,49.177332954116395
Haiti,2.42464607852415,49.08585517885415
Israel,2.056958859785899,48.95653543649905
Norway,2.0408181451856002,48.9508585651063
Rwanda,1.8514054973066436,48.88424000026588
Serbia,1.822938579489558,48.874227864161774
Thailand,1.0562231968200813,48.604565415500225
Fiji,0.528800673837944,48.41906496482266
Montserrat,0.4900875839350842,48.4054491344188
Samoa,0.20599400406246104,48.305530217791954
Zimbabwe,-0.12083503330677092,48.19058075870606
Anguilla,-1.366401495009581,47.752500984091355
Kenya,-1.4895025257643404,47.70920496299091
Mozambique,-1.7136159934116542,47.63038172841149
Finland,-3.062583101083271,47.155934780246604
Libya,-3.9018819064966546,46.86074392306245
Central African Republic,-4.188113617755908,46.76007300150872
Honduras,-4.708822143469776,46.57693393940453
Afghanistan,-4.896795084247195,46.51082173579167
Montenegro,-4.997693216375422,46.475334724587675
Tonga,-5.041458604022674,46.459941944077016
Uganda,-5.796978798920289,46.19421696923694
Trinidad and Tobago,-6.5171578281886005,45.9409218809983
Tajikistan,-6.619284240316498,45.90500286986338
Kuwait,-6.746710440384813,45.860185637927295
Tanzania,-7.681731190006299,45.53132829321822
Malawi,-7.870111936387355,45.465072659774506
Sweden,-9.024331177677615,45.05912073297877
Guatemala,-9.252884757982429,44.978735860693085
Botswana,-10.792317175180882,44.437300114712166
Sudan,-10.853042826382048,44.41594221819722
Papua New Guinea,-12.864769631440353,43.70839520850855
Djibouti,-13.622968692505896,43.441728046219524
Syria,-13.962042674660793,43.32247190192911
Indonesia,-14.14495639061931,43.258139084753296
American Samoa,-14.78876832064054,43.03170316674345
Cook Islands,-14.949573482386839,42.97514617746935
Suriname,-15.01705410864127,42.951412480031806
Mauritius,-16.784867002475103,42.329652744278356
Burundi,-16.837757410875575,42.311050591038224
Kosovo,-17.12358340544684,42.21052236462016
Wales,-17.528691077317173,42.068041426794466
Maldives,-18.59120769656286,41.69434234658063
British Virgin Islands,-18.73646846731333,41.643252494961054
Guinea-Bissau,-19.373004601842332,41.41937555629705
Chile,-19.62213606244839,41.33175321139019
Madagascar,-19.96948926565966,41.209585171664344
Cuba,-21.150143857811532,40.79433563377889
Paraguay,-21.237576236453464,40.763584679970194
Ghana,-21.49957768527749,40.671435815033156
Canada,-22.320008427472338,40.382881068515374
South Sudan,-22.820324282593006,40.20691433868886
Macau,-23.26989505014614,40.04879522856623
Cameroon,-23.5007157330298,39.967612990730565
Namibia,-23.68155880260245,39.90400844324563
Bermuda,-23.896608853180158,39.82837291468526
Vanuatu,-24.113953307437423,39.75193041846983
Guam,-24.165606760365122,39.73376331642238
Belarus,-24.36469895011841,39.66374034751919
Bulgaria,-25.14231378949203,39.390244436988546
Congo,-25.192235939105775,39.37268625384577
New Zealand,-25.45961541899106,39.278645874720105
Iceland,-26.06384872039996,39.06613020684154
Eswatini,-26.660155927315003,38.85640223580309
Belize,-26.73211553533753,38.83109322995465
Bhutan,-27.05160272021749,38.718725983205594
Turkmenistan,-27.082912911693242,38.7077138356835
Chad,-27.196037903939853,38.66792649985645
Turks and Caicos Islands,-27.84619330489326,38.43925951156517
Cayman Islands,-28.878379218058193,38.076228082811376
Somalia,-29.2874023630271,37.93237002893024
Grenada,-30.255284790028952,37.591954861605615
North Macedonia,-30.815631603661004,37.3948745665193
Republic of Ireland,-31.286911435053526,37.22912013376535
Sri Lanka,-32.13543027081529,36.9306864879054
Benin,-32.535482471501034,36.789983616321216
Lesotho,-33.903503895122995,36.30883505030323
El Salvador,-34.28404680684342,36.17499381571363
Laos,-34.342736054271555,36.15435214537636
Faroe Islands,-35.45570784764755,35.76290741128475
Mongolia,-36.97398058831009,35.22891376222341
Sierra Leone,-37.14113540998509,35.170123525928
Malaysia,-37.54809359529417,35.02699174165204
Peru,-38.391867770410876,34.7302268464609
India,-40.57823898163805,33.96125542912755
Northern Ireland,-41.62206654699857,33.594129499978315
Ethiopia,-41.74370480961407,33.55134795093254
Bangladesh,-43.07050634844813,33.08469688335621
Cambodia,-43.355473319425336,32.984470785226
Myanmar,-43.59623651564464,32.89979165329828
Lithuania,-45.67241679766683,32.16957562872392
Antigua and Barbuda,-46.63483689876542,31.83108162303469
Yemen,-46.66971338267032,31.81881517023736
Philippines,-49.71534735701391,30.74763134660155
Bosnia and Herzegovina,-50.86055270889729,30.344849706387212
Seychelles,-50.979909458780526,30.302870591104906
Bolivia,-51.48676359606159,30.124604273690522
Niger,-52.105766416031145,29.906893999533484
Nepal,-53.6911851166079,29.349284358961505
Vietnam,-54.923697504592496,28.915795849323906
Lebanon,-55.95480861600099,28.553142440471657
Barbados,-56.340547985923976,28.41747355291598
Bahamas,-56.563269047470214,28.339140043268703
Armenia,-62.371545407849396,26.296303729760144
Costa Rica,-62.398047597876776,26.286982610581873
Liberia,-63.79672373770421,25.79505243508813
Pakistan,-66.07515961359188,24.99370083670101
Hong Kong,-70.36526532701593,23.484822264745276
Latvia,-72.66845536005634,22.674764350059764
Estonia,-75.93404088660293,21.526221084452853
Malta,-83.98054231523459,18.696175767181803
Cyprus,-88.4393149487781,17.127975136851216
Andorra,-98.00532006899766,13.763503231193209
Gibraltar,-125.946767524269,3.9361809806566948
San Marino,-127.4891202636804,3.3937181244121426
Liechtenstein,-137.1382794378478,0.0
